BBBC005 cells,ground truth,GPT visual,GPT code,LLaVA,SAM Manual,SAM automated,Gemini
SIMCEPImages_A01_C1_F1_s01_w1.TIF,1,1,1,,1,1,3
SIMCEPImages_A01_C1_F1_s07_w1.TIF,1,1,1,,1,1,3
SIMCEPImages_A01_C1_F1_s16_w1.TIF,1,1,1,,1,1,2
SIMCEPImages_A01_C1_F1_s17_w1.TIF,1,1,1,,1,1,10
SIMCEPImages_A02_C5_F1_s04_w1.TIF,5,5,5,0,5,5,5
SIMCEPImages_A03_C10_F1_s10_w1.TIF,10,10,10,10,10,14,9
SIMCEPImages_A03_C10_F1_s21_w1.TIF,10,9,10,12,9,14,10
SIMCEPImages_A04_C14_F1_s04_w1.TIF,14,14,14,10,13,15,16
SIMCEPImages_A04_C14_F1_s11_w1.TIF,14,12,14,,14,16,13
SIMCEPImages_A05_C18_F1_s13_w1.TIF,18,16,17,12,16,22,20
SIMCEPImages_A05_C18_F1_s25_w1.TIF,18,18,17,14,19,21,16
SIMCEPImages_A06_C23_F1_s02_w1.TIF,23,13,22,10,23,28,30
SIMCEPImages_A06_C23_F1_s10_w1.TIF,23,17,18,10,23,24,30
SIMCEPImages_A07_C27_F1_s04_w1.TIF,27,19,24,10,24,28,31
SIMCEPImages_A07_C27_F1_s20_w1.TIF,27,22,24,20,25,32,31
SIMCEPImages_A08_C31_F1_s01_w1.TIF,31,14,25,12,29,35,38
SIMCEPImages_A08_C31_F1_s05_w1.TIF,31,15,27,10,31,32,30
SIMCEPImages_A08_C31_F1_s06_w1.TIF,31,17,32,100,33,33,38
SIMCEPImages_A08_C31_F1_s09_w1.TIF,31,22,28,100,29,32,30
SIMCEPImages_A08_C31_F1_s10_w1.TIF,31,20,29,100,28,33,36
SIMCEPImages_A08_C31_F1_s13_w1.TIF,31,23,27,10,29,35,38
SIMCEPImages_A08_C31_F1_s24_w1.TIF,31,19,29,16,30,34,30
SIMCEPImages_A09_C35_F1_s11_w1.TIF,35,21,31,100,33,42,36
SIMCEPImages_A09_C35_F1_s13_w1.TIF,35,19,33,,32,42,38
SIMCEPImages_A10_C40_F1_s15_w1.TIF,40,24,29,16,38,41,38
SIMCEPImages_A11_C44_F1_s17_w1.TIF,44,22,39,12,41,55,53
SIMCEPImages_A11_C44_F1_s23_w1.TIF,44,24,38,100,40,49,38
SIMCEPImages_A12_C48_F1_s09_w1.TIF,48,27,47,100,38,56,53
SIMCEPImages_A13_C53_F1_s01_w1.TIF,53,24,47,15,48,57,44
SIMCEPImages_A13_C53_F1_s02_w1.TIF,53,36,50,20,43,60,42
SIMCEPImages_A13_C53_F1_s19_w1.TIF,53,29,44,100,42,58,63
SIMCEPImages_A13_C53_F1_s24_w1.TIF,53,33,48,100,51,62,42
SIMCEPImages_A14_C57_F1_s18_w1.TIF,57,35,52,100,49,62,83
SIMCEPImages_A16_C66_F1_s15_w1.TIF,66,38,54,100,49,72,80
SIMCEPImages_A18_C74_F1_s14_w1.TIF,74,42,68,100,54,79,83
SIMCEPImages_A18_C74_F1_s16_w1.TIF,74,40,61,100,66,80,83
SIMCEPImages_A18_C74_F1_s17_w1.TIF,74,37,63,100,53,75,80
SIMCEPImages_A19_C78_F1_s17_w1.TIF,78,43,63,100,68,81,83
SIMCEPImages_A20_C83_F1_s04_w1.TIF,83,39,73,100,77,85,100
SIMCEPImages_A20_C83_F1_s17_w1.TIF,83,45,66,200,68,88,116
SIMCEPImages_A21_C87_F1_s14_w1.TIF,87,47,76,100,79,91,83
SIMCEPImages_A22_C91_F1_s01_w1.TIF,91,48,53,100,81,93,83
SIMCEPImages_A22_C91_F1_s13_w1.TIF,91,50,62,200,78,89,83
SIMCEPImages_A22_C91_F1_s14_w1.TIF,91,34,75,100,77,94,80
SIMCEPImages_A23_C96_F1_s05_w1.TIF,96,57,83,,84,93,116
SIMCEPImages_A23_C96_F1_s19_w1.TIF,96,74,78,100,88,104,116
SIMCEPImages_A23_C96_F1_s23_w1.TIF,96,60,67,100,81,99,116
SIMCEPImages_A24_C100_F1_s20_w1.TIF,100,67,73,100,88,101,92
SIMCEPImages_A24_C100_F1_s24_w1.TIF,100,53,64,100,85,103,138
SIMCEPImages_A24_C100_F1_s25_w1.TIF,100,62,70,100,84,103,83
